Title,Author,Date,men,women,son,daughter,father,mother,friends,fair,joy,love,rich,god,time,dear,soul,mortal,power,pray,fate,city,house,home,woe,dead,dire,death,fear,doom,evil,wretched,poor,war
Agamemnon,Aeschylus,458,0.002641690682036503,0.00024015369836695484,0.00036023054755043225,0.0006003842459173872,0.0015609990393852064,0.0006003842459173872,0.00036023054755043225,0.0036023054755043226,0.0024015369836695487,0.002161383285302594,0.00036023054755043225,0.0032420749279538905,0.002761767531219981,0.00036023054755043225,0.002881844380403458,0.0012007684918347744,0.0013208453410182516,0.001080691642651297,0.004322766570605188,0.0024015369836695487,0.0019212295869356388,0.005523535062439962,0.007084534101825168,0.0015609990393852064,0.0,0.006003842459173871,0.002161383285302594,0.0032420749279538905,0.0008405379442843419,0.0,0.00024015369836695484,0.002641690682036503
The Choephori,Aeschylus,450,0.002681478643937943,0.0003830683777054204,0.0011492051331162612,0.0,0.00881057268722467,0.004022217965906914,0.000957670944263551,0.0021068760773798123,0.0015322735108216816,0.0021068760773798123,0.0001915341888527102,0.003447615399348784,0.003447615399348784,0.0001915341888527102,0.003447615399348784,0.0011492051331162612,0.000957670944263551,0.000957670944263551,0.0024899444550852325,0.0001915341888527102,0.002681478643937943,0.004979888910170465,0.004979888910170465,0.004213752154759625,0.0,0.007086764987550277,0.0022984102662325224,0.004788354721317755,0.0001915341888527102,0.0,0.0001915341888527102,0.0001915341888527102
Eumenides,Aeschylus,458,0.00722233066562561,0.0007807925043919579,0.0005855943782939684,0.00019519812609798947,0.0015615850087839158,0.005855943782939684,0.00039039625219597894,0.002147179387077884,0.0011711887565879367,0.0007807925043919579,0.00019519812609798947,0.004489556900253757,0.002537575639273863,0.0,0.0017567831348819052,0.002147179387077884,0.0009759906304899473,0.00039039625219597894,0.0027327737653718522,0.0011711887565879367,0.00039039625219597894,0.0031231700175678315,0.002927971891469842,0.0013663868826859261,0.0,0.004099160648057779,0.0023423775131758734,0.003903962521959789,0.0007807925043919579,0.0,0.0,0.0009759906304899473
The Persians,Aeschylus,472,0.0010298661174047373,0.00020597322348094748,0.004737384140061792,0.0,0.0006179196704428424,0.0006179196704428424,0.0037075180226570545,0.0008238928939237899,0.00020597322348094748,0.00020597322348094748,0.0020597322348094747,0.0022657054582904223,0.0008238928939237899,0.0006179196704428424,0.003501544799176107,0.0010298661174047373,0.004119464469618949,0.0,0.0024716786817713696,0.0006179196704428424,0.0022657054582904223,0.0,0.0,0.0020597322348094747,0.0,0.0012358393408856848,0.0014418125643666324,0.0,0.00020597322348094748,0.00041194644696189496,0.0010298661174047373,0.004325437693099897
Promethus Bound,Aeschylus,430,0.001901863826550019,0.0,0.0009509319132750095,0.0001901863826550019,0.0028527957398250285,0.0015214910612400153,0.0003803727653100038,0.0009509319132750095,0.0,0.001711677443895017,0.0,0.0020920502092050207,0.0015214910612400153,0.0001901863826550019,0.0011411182959300114,0.0011411182959300114,0.0013313046785850132,0.0009509319132750095,0.002472422974515025,0.0003803727653100038,0.0003803727653100038,0.0009509319132750095,0.002282236591860023,0.0003803727653100038,0.0001901863826550019,0.0003803727653100038,0.002472422974515025,0.0007607455306200076,0.0015214910612400153,0.0,0.0011411182959300114,0.0001901863826550019
The Seven Against Thebes,Aeschylus,467,0.0033919864320542717,0.001483994064023744,0.0016959932160271359,0.00021199915200339198,0.001483994064023744,0.00105999576001696,0.0006359974560101759,0.00042399830400678397,0.0,0.0012719949120203519,0.0006359974560101759,0.0038159847360610556,0.0016959932160271359,0.00021199915200339198,0.0012719949120203519,0.00105999576001696,0.00211999152003392,0.0008479966080135679,0.002967988128047488,0.006147975408098368,0.002331990672037312,0.004027983888064448,0.0038159847360610556,0.002331990672037312,0.0008479966080135679,0.004875980496078016,0.002755988976044096,0.005935976256094976,0.00042399830400678397,0.0,0.00042399830400678397,0.0031799872800508796
The Suppliants,Aeschylus,463,0.004625905068382945,0.00040225261464199515,0.00040225261464199515,0.00020112630732099757,0.002011263073209976,0.0012067578439259854,0.0,0.002614641995172969,0.0006033789219629927,0.0018101367658889783,0.00020112630732099757,0.002614641995172969,0.001005631536604988,0.00040225261464199515,0.0014078841512469831,0.001005631536604988,0.0014078841512469831,0.001005631536604988,0.0016090104585679806,0.003218020917135961,0.00020112630732099757,0.001005631536604988,0.0018101367658889783,0.0006033789219629927,0.00020112630732099757,0.002413515687851971,0.002614641995172969,0.0014078841512469831,0.0006033789219629927,0.0,0.0,0.002011263073209976
