Title,Author,Date
Agamemnon,Aeschylus,458
The Choephori,Aeschylus,450
Eumenides,Aeschylus,458
The Persians,Aeschylus,472
Promethus Bound,Aeschylus,430
The Seven Against Thebes,Aeschylus,467
The Suppliants,Aeschylus,463
